song,performer,count,year
Love You So,Ron Holden with The Thunderbirds,19,1960
Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",16,2000
Mockingbird,Inez Foxx with Charlie Foxx,18,1963
Emma,Hot Chocolate,14,1975
Long Tall Glasses (I Can Dance),Leo Sayer,15,1975
Lonely Boy,Andrew Gold,21,1977
I Love How You Love Me,Bobby Vinton,5,1969
Jingle Jangle,The Archies,8,1970
Listen To Your Heart,D.H.T.,27,2005
I'll Be There,The Escape Club,25,1991
I Wanna Be Your Lover,Prince,10,1980
Living In The Past,Jethro Tull,5,1973
Just The Way You Are,Billy Joel,19,1978
Lady Godiva,Peter And Gordon,13,1966
Eli's Coming,Three Dog Night,4,1970
"Iko Iko (From ""Rain Man"")",The Belle Stars,18,1989
Jamie,Ray Parker Jr.,10,1985
Hello Stranger,Yvonne Elliman,16,1977
Little Miss Can't Be Wrong,Spin Doctors,11,1992
Little Town Flirt,Del Shannon,12,1963
"I Loves You, Porgy",Nina Simone,15,1959
One Last Cry,Brian McKnight,22,1993
Down A** Chick,"Ja Rule Featuring Charli ""Chuck"" Baltimore",19,2002
Keep Coming Back,Richard Marx,11,1992
Love Machine (Part 1),The Miracles,18,1976
Hooked On A Feeling,B.J. Thomas,7,1968
Keem-O-Sabe,The Electric Indian,11,1969
Miss Sun,Boz Scaggs,5,1980
Forget Him,Bobby Rydell,8,1963
Love Overboard,Gladys Knight And The Pips,14,1988
"Green, Green Grass Of Home",Tom Jones,10,1967
In The Misty Moonlight,Jerry Wallace,11,1964
I Could Never Take The Place Of Your Man,Prince,7,1987
Martian Hop,The Ran-Dells,13,1963
Long Dark Road,The Hollies,9,1972
Linger,The Cranberries,10,1993
Heaven,The Rascals,6,1969
Joy,Mitch Ryder,6,1967
Hurricane (Part 1),Bob Dylan,5,1975
Honey (I Miss You),O.C. Smith,6,1969
I'll Keep Holding On,The Marvelettes,7,1965
Feelin' Satisfied,Boston,7,1979
I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,16,2016
It's Time For Love,The Chi-lites,3,1975
Mo-Onions,Booker T. & The MG's,3,1964
Not On Your Love,Jeff Carson,2,1995
Message From A Black Man,The Whatnauts & The Whatnaut Band,2,1970
Let Me Know,Cam'ron,2,1999
Got Beef,Snoop Dogg Presents Tha Eastsidaz Featuring Jayo Felony And Blaqthoven,2,2000
Lay Me Down,The Dirty Heads Featuring Rome,8,2010
Hit The Floor,Twista Featuring Pitbull,3,2005
How Did You Know?,Mynt Featuring Kim Sozzi,2,2004
Love That Really Counts,Natural Four,2,1974
Losing You,Mocca Soul,2,1992
"Mercy, Mercy, Mercy",Larry Williams & Johnny Watson,4,1967
Seasons In The Sun,Terry Jacks,21,1974
Animals,Maroon 5,17,2014
Take A Bow,Rihanna,27,2008
Bird Dog,The Everly Brothers,18,1958
Raindrops,Dee Clark,16,1961
Cupid's Chokehold/Breakfast In America,Gym Class Heroes Featuring Patrick Stump,24,2007
Sensitivity,Ralph Tresvant,11,1991
Teen Angel,Mark Dinning,16,1960
Don't Let The Sun Go Down On Me,George Michael/Elton John,16,1992
All I Need,Jack Wagner,11,1985
Precious And Few,Climax,15,1972
That's The Way (I Like It),KC And The Sunshine Band,6,1976
A Hundred Pounds Of Clay,Gene McDaniels,15,1961
Summer Love,Justin Timberlake,20,2007
Rack City,Tyga,21,2012
Be My Lover,La Bouche,30,1996
Can't We Try,Dan Hill (Duet With Vonda Shepard),24,1987
The End,Earl Grant,16,1958
Roses,The Chainsmokers Featuring Rozes,23,2016
Papa Was A Rollin' Stone,The Temptations,12,1972
Popcorn,Hot Butter,18,1972
Sheila,Tommy Roe,14,1962
Don't Hang Up,The Orlons,12,1962
"Abraham, Martin And John",Dion,4,1969
Celebration,Kool & The Gang,20,1981
Sealed With A Kiss,Brian Hyland,14,1962
Piano In The Dark,Brenda Russell Featuring Joe Esposito,25,1988
Blue (Da Ba Dee),Eiffel 65,17,2000
Does Anybody Really Know What Time It Is?,Chicago,5,1971
Be My Baby,The Ronettes,13,1963
A Groovy Kind Of Love,The Mindbenders,13,1966
Ain't Nothing Like The Real Thing,Marvin Gaye & Tammi Terrell,13,1968
"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",Chic,18,1978
Prayer In C,Lillywood & Robin Schulz,18,2015
Shake Your Rump To The Funk,The Bar-Kays,5,1977
Classic Man,Jidenna Featuring Roman GianArthur,21,2015
Orinoco Flow (Sail Away),Enya,17,1989
Back 2 Good,matchbox 20,27,1999
Rubber Band Man,T.I.,20,2004
Shanghai Breezes,John Denver,14,1982
Ode To Billy Joe - Main Title,Bobbie Gentry,4,1976
It Amazes Me,John Denver,7,1978
Insatiable,Darren Hayes,7,2002
Never Let Me Go,Lloyd Price and His Orchestra,3,1960
I'm Gonna' Be Warm This Winter,Connie Francis,3,1962
Easy Rider (Let The Wind Pay The Way),Iron Butterfly,6,1970
Looking Through The Eyes Of Love,The Partridge Family Starring Shirley Jones Featuring David Cassidy,3,1972
Gonna Love You More,George Benson,5,1977
Fireflies,Fleetwood Mac,6,1981
I'll Be Loving You,Collage,5,1993
My Best Days Are Ahead Of Me,Danny Gokey,1,2010
Just As Much As Ever,Bobby Vinton,1,1967
Midnight Sky (Part 1),The Isley Brothers,5,1975
Lucky Man,Starbuck,2,1976
Give It Up,The Steve Miller Band,3,1982
Escalator Of Life,Robert Hazard,9,1983
Here Comes The Night,Ben E. King,2,1961
Melody For An Unknown Girl,The Unknowns,4,1966
My Shy Violet,The Mills Brothers,7,1968
Keep On Doin',The Isley Brothers,5,1970
Houston (I'm Comin' To See You),Glen Campbell,6,1974
Kings And Queens,Aerosmith,5,1978
Hot Summer Nights,Walter Egan,7,1978
Fresh Azimiz,Bow Wow Featuring J-Kwon & Jermaine Dupri,2,2005
Hold My Hand,Michael Jackson Duet With Akon,4,2010
I Walk The Line,Craig Wayne Boyd,1,2014
Money,The Lovin' Spoonful,6,1968
Love Gun,KISS,7,1977
Fool For A Pretty Face (Hurt By Love),Humble Pie,7,1980
Hurry Up And Wait,The Isley Brothers,7,1981
Losers,The Weeknd Featuring Labrinth,1,2015
Lonely Summer,The Shades Of Blue,6,1966
Once You Understand,Think,4,1971
King Of Nothing,Seals & Crofts,6,1974
Help Wanted,The Hudson Brothers,5,1976
I Want You To Be Mine,Kayak,6,1978
Girls Talk,Dave Edmunds,6,1979
Just Like Paradise,Larry John McNally,2,1981
Na Na Na,112 Featuring Super Cat,6,2003
F**kin' Perfect,P!nk,30,2011
No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz,26,2016
I'm So Tired...,Lauv & Troye Sivan,6,2019
Hey Little Lucy! (Don'tcha Put No Lipstick On),Conway Twitty,2,1959
I May Not Live To See Tomorrow,Brian Hyland,6,1962
Downtown,Petula Clark,2,1964
My World Is Empty Without You,Jose Feliciano,1,1969
It's So Nice,Jackie DeShannon,7,1970
Let Me Make Love To You,The O'Jays,3,1975
It's In His Kiss (The Shoop Shoop Song),Kate Taylor,7,1977
Heaven's Just A Sin Away,The Kendalls,7,1977
Longer,Dan Fogelberg,3,1979
Good Morning Girl/stay Awhile,Journey,8,1980
I Apologize,Anita Baker,1,1994
I Will Always Love You,Glee Cast,1,2012
Drive,Miley Cyrus,1,2013
Look At My Dab,Migos,1,2016
He's Got The Power,The Exciters,8,1963
Follow Me,Lyme & Cybelle,6,1966
Love Potion Number Nine,The Coasters,3,1971
Life Ain't Easy,Dr. Hook And The Medicine Show,7,1973
Everyday Without You,"Hamilton, Joe Frank & Reynolds",7,1976
Glide,Pleasure,4,1979
Easy Love,Dionne Warwick,6,1980
Leader Of The Pack,Twisted Sister,5,1985
I Need Your Loving,The Human League,4,1986
Killing Me Softly,Al B. Sure!,7,1988
Gypsy Road,Cinderella,7,1989
Good Times With Bad Boys,Boy Krazy,9,1993
Love For Free,Rell Featuring Jay-Z,3,1998
Look Away,Garnet Mimms,5,1964
Inky Dinky Spider (The Spider Song),The Kids Next Door,3,1965
Goin' Places,The Jacksons,7,1977
Hold On To The Night,Hotel,4,1979
Love And Loneliness,The Motors,5,1980
My Mistake,The Kingbees,8,1980
Memories Of Days Gone By,Fred Parris & The Five Satins,5,1982
Lonely School,Tommy Shaw,3,1984
Johnny Come Home,Fine Young Cannibals,5,1986
Help Is On The Way,Rise Against,1,2011
OKRA,"Tyler, The Creator",1,2018
Little Red Riding Hood,Big Bopper,4,1958
First Taste Of Love,Ben E. King,1,1960
I Don't Like It Like That,The Bobbettes,4,1961
Jellybread,Booker T. & The MG's,1,1962
He's A Lover,Mary Wells,4,1965
Hung On You,The Righteous Brothers,7,1965
Hushabye,Jay & The Americans,7,1969
In The Quiet Morning,Joan Baez,8,1972
"If It Don't Fit, Don't Force It",Kellee Patterson,3,1977
I Need You,Euclid Beach Band,5,1979
I Like To Rock,April Wine,3,1980
Mega Force,707,6,1982
Mexican Radio,Wall Of Voodoo,9,1983
Love Is The Key,Maze Featuring Frankie Beverly,5,1983
It's No Secret,Kylie Minogue,4,1988
Get Serious,Cut 'N' Move,6,1991
Old To The New,Nice & Smooth,7,1994
Lie To Me/Something For The Pain,Bon Jovi,9,1995
Keep Your Mind Wide Open,AnnaSophia Robb,1,2007
No Sleep Leak,Lil Uzi Vert,1,2017
Home,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",1,2017
Eye To Eye,Go West,7,1985
Lloro Por Ti,Enrique Iglesias,1,2008
Little Miss Stuck-Up,The Playmates,5,1961
I Just Can't Help It,Jackie Wilson,4,1962
I Don't Wanna Lose Your Love/Flowers,The Emotions,6,1977
In The Hood,Donell Jones,8,1996
Looking For You,Kirk Franklin,4,2005
Little Things Mean A Lot,Joni James,1,1959
Heartbreaker,Grand Funk Railroad,6,1970
Left & Right,D'Angelo Featuring Method Man And Redman,3,1999
Dusty,The Rag Dolls,6,1965
Giddyup Go,Red Sovine,3,1966
Ecstasy,Ben E. King,6,1962
"Love Theme From ""The Godfather""",Carlo Savina,9,1972
Eyes Of Silver,The Doobie Brothers,8,1974
Fools Game,Michael Bolton,3,1983
Imagination,Xymox,3,1990
Forever In Love,Kenny G,2,1992
Impacto,Daddy Yankee Featuring Fergie,7,2007
Fall For Your Type,Jamie Foxx Featuring Drake,1,2010
No Role Modelz,J. Cole,1,2014
Fried Onions,Lord Rockingham's XI,1,1958
Evening Rain,Earl Grant,7,1959
Got What You Need,The Fantastic Johnny C,6,1968
Love Me As I Love You,George Maharis,6,1962
Feelin' So Good (S.k.o.o.b.y-D.o.o),The Archies,7,1969
It Doesn't Have To Be That Way,Jim Croce,4,1974
Mental Picture,Jon Secada,6,1994
Flying Circle,Frank Slay And His Orchestra,4,1961
Facts Of Love,Jeff Lorber & Karyn White,4,1986
I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,9,2019
It's All Over,Walter Jackson,6,1964
I Love You So,Bobbi Martin,7,1965
I Wouldn't Have Missed It For The World,Ronnie Milsap,7,1982
Lo Mucho Que Te Quiero (The More I Love You),Rene & Rene,6,1969
Mellow Yellow,Donovan,4,1967
Keep Your Hands Off My Baby,Little Eva,3,1963
Lucy In The Sky With Diamonds,Elton John,9,1975
Once In Awhile,The Chimes,8,1961
Oh Father,Madonna,5,1990
My Prerogative,Bobby Brown,13,1989
Harden My Heart,Quarterflash,13,1982
"Bend Me, Shape Me",The American Breed,5,1967
Power,The Temptations,9,1980
Don't Laugh At Me,Mark Wills,4,1998
That's My Girl,Fifth Harmony,3,2016
That's How Much,Brian Hyland,4,1960
(The Bees Are For The Birds) The Birds Are For The Bees,The Newbeats,7,1965
5 D (Fifth Dimension),The Byrds,5,1966
Tangled Up In Blue,Bob Dylan,7,1975
Born To Be Yours,Kygo & Imagine Dragons,2,2018
Blue Tango,Bill Black's Combo,6,1960
As Usual,Brenda Lee,3,1963
Pay You Back With Interest,The Hollies,7,1967
Dandelion,The Rolling Stones,8,1967
"Blue Morning, Blue Day",Foreigner,2,1978
Confusion,Electric Light Orchestra,8,1979
Pen & Paper (Something Typical),The Red Jumpsuit Apparatus,1,2009
Be On You,Flo Rida Featuring Ne-Yo,16,2009
Bridge Over Troubled Water,Mary J. Blige & Andrea Bocelli,1,2010
A Lie,French Montana Featuring The Weeknd & Max B,1,2017
Say A',A Boogie Wit da Hoodie,2,2017
Straighten Up & Fly Right,DeJohn Sisters,2,1958
Red Sails In The Sunset,The Platters Featuring Tony Williams,8,1960
409,The Beach Boys,1,1962
Stones/Crunchy Granola Suite,Neil Diamond,7,1971
Sensual Seduction,Snoop Dogg,3,2007
Come On And Get Me,Fabian,8,1959
Baby I'm - A Want You,Bread,10,1971
Dis-Gorilla (Part 1),Rick Dees & His Cast Of Idiots,6,1977
All You Get From Love Is A Love Song,Carpenters,10,1977
Outside Looking In,Jordan Pruitt,2,2007
Buying A Book,Joe Tex,8,1969
Telegram Sam,T. Rex,5,1972
Be True To Yourself,2nd II None,2,1992
River,Sarah McLachlan,2,2006
Careful,Paramore,1,2009
Confessions Of A Dangerous Mind,Logic,1,2019
The Alley Cat Song,David Thorne,4,1962
All Night Thing,The Invisible Man's Band,10,1980
Southside,Lil Baby,1,2018
Bad Liar,Imagine Dragons,1,2018
Day Tripper,Ramsey Lewis,2,1966
Baby Don't Go,Karla Bonoff,7,1980
"Baby, I Believe In You",George LaMond,4,1992
Don't Wait,Dashboard Confessional,4,2006
Take Your Shirt Off,T-Pain,1,2009
All Your Fault,Big Sean Featuring Kanye West,1,2015
Beautiful Delilah,Chuck Berry,1,1958
Telling Lies,Fats Domino,9,1959
Out & About,Tommy Boyce & Bobby Hart,7,1967
She Lets Her Hair Down (Early In The Morning),The Tokens,3,1969
Country Road,James Taylor,8,1971
Sugar Baby Love,The Rubettes,10,1974
"Baby, Come To Me",Patti Austin With James Ingram,15,1982
Carrie's Gone,Le Roux,4,1983
Someone Like You,Michael Stanley Band,2,1983
"(Meet) The Flintstones (From ""The Flintstones"")",The B.C. 52's,8,1994
Pull Up To The Bumper,Patra,10,1995
She Only Smokes When She Drinks,Joe Nichols,5,2003
Dame Tu Cosita,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,9,2018
Pink Chiffon,Mitchell Torok,9,1960
Sock It To Me-Baby!,Mitch Ryder And The Detroit Wheels,11,1967
Sincerely,Paul Anka,4,1969
Chicken Strut,The Meters,8,1970
Are You Sure Hank Done It This Way,Waylon Jennings,9,1975
Bringin' On The Heartbreak,Def Leppard,8,1984
Can't Have Everything,Drake,2,2017
Ain't That Just Like A Woman,Fats Domino,8,1961
That's The Way With Love,Piero Soffici,7,1961
A Little Dog Cried,Jimmie Rodgers,4,1961
Spanish Lace,Gene McDaniels,8,1962
Don't Make My Baby Blue,Frankie Laine,7,1963
Please Let Me Wonder,The Beach Boys,5,1965
Said I Wasn't Gonna Tell Nobody,Sam & Dave,6,1966
A Woman's Hands,Joe Tex,5,1967
Don't Take Away The Music,Tavares,9,1976
That Didn't Hurt Too Bad,Dr. Hook,4,1981
She Was Hot,The Rolling Stones,9,1984
Devil In A Fast Car,Sheena Easton,3,1984
Ching-A-Ling,Missy Elliott,9,2008
Sun Daze,Florida Georgia Line,8,2014
Back Up,DeJ Loaf Featuring Big Sean,10,2015
American Country Love Song,Jake Owen,17,2016
Saturday Nights,Khalid,1,2018
The Burning Of Atlanta,Claude King,6,1962
"Southtown, U.S.A.",The Dixiebelles,8,1964
Be Anything (But Be Mine),Connie Francis,8,1964
A Well Respected Man,The Kinks,4,1965
Detroit City,Tom Jones,8,1967
An Open Letter To My Teenage Son,Victor Lundberg,6,1967
All I Have,The Moments,6,1970
Power Of Love (You Are My Lady),Air Supply,6,1985
Pork And Beans,Weezer,15,2008
Set You Free,3OH!3,1,2012
Please Don't Do It,Dale Wright And The Wright Guys With the Dons,5,1958
I'm Gonna Love You Too,The Hullaballoos,4,1965
Easy Driver,Kenny Loggins,3,1979
Makin' Whoopee,Ray Charles,5,1965
For A Dancer,Prelude,3,1976
I Love You,Otis Leavill,4,1970
Eye On You,Billy Squier,4,1985
Husbands And Wives,Brooks & Dunn,5,1999
Sugar Dumpling,Sam Cooke,9,1965
Sunrise,Eric Carmen,10,1976
The Belle Of St. Mark,Sheila E.,10,1984
Bongo Stomp,Little Joey And The Flips,10,1962
Springtime Mama,Henry Gross,10,1976
Steal Away,Johnnie Taylor,10,1970
(I Love You) Don't You Forget It,Perry Como,9,1963
Are You There (With Another Girl),Dionne Warwick,7,1966
Champagne Jam,Atlanta Rhythm Section,9,1978
Count Every Star,Linda Scott,10,1962
Sunshine,Enchantment,10,1977
(New In) The Ways Of Love,Tommy Edwards,2,1960
Chattanooga Choo Choo,Floyd Cramer,8,1962
Bridget The Midget (The Queen Of The Blues),Ray Stevens,8,1971
"Baby, Hang Up The Phone",Carl Graves,5,1975
Talladega,Eric Church,8,2014
"Out Of Sight, Out Of Mind",Little Anthony And The Imperials,9,1969
Batman Theme,Neal Hefti,8,1966
Angelito,Rene & Rene,8,1964
Point Panic,The Surfaris,8,1963
Dancin' Shoes,Faith Band,6,1979
She Let Herself Go,George Strait,9,2005
That's Your Secret,Sea Level,10,1978
Chillin' It,Cole Swindell,9,2013
Suddenly You Love Me,The Tremeloes,10,1968
Rock And Roll Never Forgets,Bob Seger,8,1977
Stone Blue,Foghat,10,1978
A Little Lovin' (Keeps The Doctor Away),The Raes,6,1979
Stop Her On Sight (S.O.S.),Edwin Starr,8,1966
Recovery,Fontella Bass,7,1966
The 81,Candy & The Kisses,4,1965
Somebody's Out There Watching,The Kinleys,9,1999
Baby Make Your Own Sweet Music,Jay And The Techniques,8,1968
Disco Inferno,The Trammps,9,1977
The Black-Eyed Boys,Paper Lace,9,1974
Consider Me Gone,Reba,8,2010
Steal My Girl,One Direction,7,2015
Runnin',The Pharcyde,4,1996
And So It Goes,Billy Joel,1,1991
Caramel,City High Featuring Eve,12,2002
Swingtown,The Steve Miller Band,3,1978
Ballad Of The Alamo,Marty Robbins,1,1961
Every Road Leads Back To You,Bette Midler,4,1992
Left & Right,D'Angelo Featuring Method Man And Redman,2,2000
Organ Shout,"Dave ""Baby"" Cortez",3,1963
A Woman's Love,Carla Thomas,4,1964
The Eggplant That Ate Chicago,Dr. West's Medicine Show and Junk Band,6,1966
Ruby Tuesday,Melanie,4,1970
"December, 1963 (Oh, What a Night)",The 4 Seasons,1,1975
Platinum Heroes,Bruce Foster,5,1977
Sweets For My Sweet,Tony Orlando,6,1979
Rocky II Disco,Maynard Ferguson,4,1979
Concealed Weapons,The J. Geils Band,7,1984
Basketball,Kurtis Blow,6,1985
Tell Her,Kenny Loggins,8,1989
[Freak] And U Know It,Adina Howard,7,1997
Celebrity Skin,Hole,4,1998
Doe Boy Fresh,Three 6 Mafia Featuring Chamillionaire,10,2007
Shake My,Three 6 Mafia Featuring Kalenna,3,2009
Blind Man,Bobby Bland,3,1965
Out Of This World,The Chiffons,4,1966
Sound And Vision,David Bowie,6,1977
Soul Man,Blues Brothers,4,1978
Alabama Getaway,Grateful Dead,6,1980
Snake Eyes,The Alan Parsons Project,5,1981
Blaze Of Glory,Kenny Rogers,6,1981
Beyond The Invisible,Enigma,3,1996
The Fix,Nelly Featuring Jeremih,11,2015
Can't Nobody Love You,Solomon Burke,6,1963
Sooner Or Later,Johnny Mathis,3,1963
Sixteen Tons,Tom Jones,4,1967
Stay And Love Me All Summer,Brian Hyland,3,1969
Ain't Nobody Home,B.B. King,7,1971
Popsicle Toes,Michael Franks,8,1976
After The Dance,Marvin Gaye,5,1976
Reach For It,George Duke,6,1978
Shake And Dance With Me,ConFunkShun,6,1978
Back To School Again,Four Tops,7,1982
Behind Bars,Slick Rick,3,1994
Run Red Run,The Coasters,2,1959
Rambling,The Ramblers,4,1960
Some Kinda Fun,Chris Montez,4,1962
Candy To Me,Eddie Holland,6,1964
Do You Wanna Dance,The Mamas & The Papas,5,1968
A Mama And A Papa,Ray Stevens,3,1971
Country Side Of Life,Wet Willie,4,1974
Only One Love In My Life,Ronnie Milsap,6,1978
(Want You) Back In My Life Again,Carpenters,8,1981
Bad Love,Eric Clapton,5,1990
Save Me,Lisa Fischer,6,1991
As Your Friend,Afrojack Featuring Chris Brown,3,2013
Swingin' Down The Lane,Jerry Wallace,2,1960
That Boy John,The Raindrops,5,1963
Am I Grooving You,Freddie Scott,5,1967
Come To The Sunshine,Harpers Bizarre,7,1967
Porpoise Song,The Monkees,6,1968
Reach Out,Merrilee Rush,4,1968
Runnin' Blue,The Doors,6,1969
Smarty Pants,First Choice,7,1973
S.O.S.,ABBA,17,1975
Run Home Girl,Sad Cafe,9,1979
The Best Of Me,David Foster And Olivia Newton-John,8,1986
Sittin' On Chrome,Masta Ace Incorporated,8,1995
Smile,Lonestar,2,1999
Catch Me,Demi Lovato,1,2009
Rap Song,T-Pain Featuring Rick Ross,1,2010
Somebody,Bridgit Mendler,1,2011
Don't Go Near The Eskimos,Ben Colder,6,1962
Ann-Marie,The Belmonts,3,1963
Straighten Up Your Heart,Barbara Lewis,7,1963
That's How Strong My Love Is,Otis Redding,4,1965
Apache '65,The Arrows Featuring Davie Allan,7,1965
Al's Place,Al (He's the King) Hirt,7,1965
Daylight Savin' Time,Keith,4,1967
Sound Asleep,The Turtles,6,1968
Somebody Cares,Tommy James And The Shondells,5,1968
Back Door Man,Derek,6,1969
Sing A Simple Song,Sly & The Family Stone,4,1969
Capture The Moment,Jay & The Americans,6,1970
Are You My Woman? (Tell Me So),The Chi-lites,2,1970
Brown Eyed Girl,El Chicano,7,1972
Runaway,Charlie Kulis,8,1975
Peanut Butter,Twennynine Featuring Lenny White,4,1980
Shine On,L.T.D.,7,1980
"Someday, Someway",Robert Gordon,4,1981
Remo's Theme (What If),Tommy Shaw,5,1985
Step Daddy,Hitman Sammy Sam,3,2003
Roc Boys (And The Winner Is)...,JAY-Z,7,2007
Do You Hear What I Hear,Carrie Underwood,1,2008
Our Time Now,Plain White T's,1,2008
Stepped On My J'z,Nelly Featuring Ciara & JD,1,2008
She's Country,Jason Aldean,1,2008
1901,Phoenix,2,2009
Temptation,Roger Williams,6,1960
"(Theme From) ""Goodbye Again""",Ferrante & Teicher,4,1961
She Did It,Michael Damian,6,1981
Sweet Merilee,Donnie Iris,6,1981
A Chance For Heaven,Christopher Cross,5,1984
The Fear,Lily Allen,10,2009
Birthday Song,2 Chainz Featuring Kanye West,19,2012
Soldier's Joy,Hawkshaw Hawkins,2,1959
Stout-Hearted Men,Barbra Streisand,2,1967
Spider Jiving,Andy Fairweather Low,3,1975
C'est La Vie,Greg Lake,2,1977
Destroyer,The Kinks,4,1981
Over The Line,Eddie Schwartz,5,1982
Sing A Simple Song,West Street Mob,4,1982
Still Of The Night,Whitesnake,7,1987
Perfect World,Alias,4,1991
Ballad Of Youth,Richie Sambora,7,1991
Butt Naked,Charm,3,1992
So Sexy Chapter II (Like This),Twista Featuring R. Kelly,2,2004
Panic Switch,Silversun Pickups,1,2009
Take Me To Church,Matt McAndrew,1,2014
At The Club,Jacquees X Dej Loaf,7,2018
Amor Genuino,Ozuna,1,2019
Star Love,The Playmates,4,1959
Sleepy Lagoon,The Platters,5,1960
(Theme From) The Sundowners,Mantovani & His Orchestra,1,1960
"Something Old, Something New",Paul and Paula,5,1963
Cuando Calienta El Sol (When The Sun Is Hot),Steve Allen and His Orchestra with The Copacabana Trio,5,1963
So Much Love,Steve Alaimo,2,1966
Don't Be A Drop-Out,James Brown And The Famous Flames,7,1966
"Darkness, Darkness",The Youngbloods,4,1970
Out Of The Darkness,David Crosby/Graham Nash,3,1976
Street Of Dreams,Rainbow,9,1983
Action,"Evelyn ""Champagne"" King",7,1984
Breaking Up Is Hard On You,The American Comedy Network,5,1984
(Come On) Shout,Alex Brown,6,1985
All I Know Is The Way I Feel,The Pointer Sisters,2,1987
"Powerful Stuff (From ""Cocktail"")",The Fabulous Thunderbirds,7,1988
1/2/03,The Chimes,5,1990
Slow,Kylie Minogue,3,2004
Shining Down,Lupe Fiasco Featuring Matthew Santos,1,2009
Rose's Turn,Glee Cast,1,2010
Radioactive,Imagine Dragons,16,2012
Saved,Ty Dolla $ign Featuring E-40,9,2016
Blessings,Chance The Rapper Featuring Ty Dolla $ign,1,2016
Six Boys And Seven Girls,Anita Bryant,6,1959
Come To Me,Otis Redding,7,1964
Soon I'll Wed My Love,John Gary,4,1964
Ready Or Not Here I Come (Can't Hide From Love),The Delfonics,4,1968
Does Anybody Know I'm Here,The Dells,1,1968
Some Enchanted Evening,Jane Olivor,3,1977
"Cuz It's You, Girl",James Walsh Gypsy Band,7,1978
Sleeping With You,Firehouse,1,1992
Don't Stop The Music,Rihanna,4,2007
Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,3,2019
Ruby Duby Du,Tobin Mathews & Co.,8,1960
Child Of God,Bobby Darin,1,1960
Sad Eyes (Don't You Cry),The Echoes,3,1961
"Aw Shucks, Hush Your Mouth",Jimmy Reed,5,1962
Rat Race,The Drifters,6,1963
Pink Dominos,The Crescents Featuring Chiyo,1,1963
Bird Dance Beat,The Trashmen,7,1964
All God's Children Got Soul,Dorothy Morrison,1,1969
"Silly, Silly, Fool",Dusty Springfield,5,1970
Sugaree,Jerry Garcia,2,1972
"Started Out Dancing, Ended Up Making Love",Alan O'Day,6,1977
Brite Eyes,Robbin Thompson Band,9,1980
Crossroads,Tracy Chapman,4,1989
"Revolution (From ""Malcolm X"")",Arrested Development,3,1992
Put It On Me,Ja Rule Featuring Lil' Mo & Vita,2,2000
Stunting Ain't Nuthin,Gucci Mane Featuring Slim Jxmmi & Young Dolph,1,2017
Calcutta,The Four Preps,2,1961
Tears From An Angel,Troy Shondell,2,1961
Do-Wacka-Do,Roger Miller,5,1964
Bad Little Woman,The Shadows Of Knight,2,1966
Sweetest One,The Metros,4,1967
A Million To One,Brian Hyland,5,1969
Can You Get To That,Funkadelic,3,1971
Soft And Wet,Prince,4,1978
All Night With Me,Laura Branigan,7,1982
Pump Up The Volume,M/A/R/R/S,5,1987
Dancing In Heaven (Orbital Be-Bop),Q-feel,7,1989
Skat Strut,MC Skat Kat & The Stray Mob,4,1991
Perdidos,Monchy & Alexandra,1,2004
Bellas Finals: Price Tag / Don't You (Forget About Me)...,The Barden Bellas,6,2013
She Knows,J. Cole Featuring Amber Coffman & The Cults,5,2014
(New In) The Ways Of Love,Tommy Edwards,7,1959
C'mon,Poco,7,1971
Slippin' Away,Jean Shepard,6,1973
Boy Toy,Tia,2,1987
Darlin' I,Vanessa Williams,4,1989
Still Got The Blues,Gary Moore,3,1991
1-4-All-4-1,East Coast Family,6,1992
Died In Your Arms,Intonation Featuring Joee,7,1995
Cha-Cha Slide,Mr. C The Slide Man,10,2001
Ready,Fabolous Featuring Chris Brown,8,2013
Bruises,Train Featuring Ashley Monroe,8,2013
Bottom Of The Bottle,Curren$Y Featuring August Alsina & Lil Wayne,1,2016
Tell Me You Love Me,Demi Lovato,3,2017
Crackin Up,Bo Diddley,5,1959
Smokie - Part 2,Bill Black's Combo,5,1959
That's When I Cried,Jimmy Jones,5,1960
Across The Street,Lenny O'Henry,1,1964
Painter,Lou Christie,5,1966
Any Way That You Want Me,Liverpool Five,1,1966
Come On Sock It To Me,Syl Johnson,3,1967
That Evil Child,B.B. King,2,1971
Call Me Up In Dreamland,Van Morrison,2,1971
After Midnight,Maggie Bell,3,1974
Can't Nobody,Kelly Rowland,5,2003
"Pon De River, Pon De Bank",Elephant Man,13,2003
Goin' Out Of My Head/Forget To Remember,Frank Sinatra,4,1969
I'm Gonna Love You,The Intrigues,1,1970
Kiss You All Over,No Mercy,3,1997
If It's Lovin' That You Want,Rihanna,9,2006
My Little Town,Simon & Garfunkel,3,1976
Girls Dem Sugar,Beenie Man Featuring Mya,4,2001
